2014/2/1
7 -> 1329 | media : 0.963130
8 -> 1103 | media : 0.573889
9 -> 862 | media : 0.770302
10 -> 680 | media : 0.854412
11 -> 553 | media : 0.576854
12 -> 463 | media : 0.909287
13 -> 380 | media : 0.760526
14 -> 346 | media : 0.789017
15 -> 369 | media : 1.257453
16 -> 353 | media : 0.736544
17 -> 320 | media : 0.562500
18 -> 266 | media : 0.725564
19 -> 266 | media : 0.488722
20 -> 270 | media : 0.611111
21 -> 216 | media : 0.550926
22 -> 239 | media : 0.456067
23 -> 240 | media : 0.537500
24 -> 196 | media : 0.428571
25 -> 178 | media : 0.258427
26 -> 154 | media : 0.227273
27 -> 130 | media : 0.207692
28 -> 106 | media : 0.283019
29 -> 79 | media : 0.177215
30 -> 76 | media : 0.144737
31 -> 69 | media : 0.130435
32 -> 57 | media : 0.122807
33 -> 49 | media : 0.142857
34 -> 38 | media : 0.263158
35 -> 32 | media : 0.250000
36 -> 36 | media : 0.305556
37 -> 29 | media : 0.275862
38 -> 22 | media : 0.136364
39 -> 11 | media : 0.272727
40 -> 10 | media : 0.200000
41 -> 10 | media : 0.100000
42 -> 8 | media : 0.000000
43 -> 7 | media : 0.000000
44 -> 8 | media : 0.000000
45 -> 9 | media : 0.333333
46 -> 5 | media : 0.400000
47 -> 3 | media : 0.000000
48 -> 3 | media : 0.000000
49 -> 3 | media : 0.000000
50 -> 2 | media : 0.000000
52 -> 1 | media : 0.000000
2014/2/11
1 -> 22597 | media : 2.010267
2 -> 14306 | media : 8.424997
3 -> 6867 | media : 3.485947
4 -> 4011 | media : 2.693842
5 -> 2635 | media : 1.937002
6 -> 1974 | media : 1.436170
7 -> 1550 | media : 0.985806
8 -> 1387 | media : 0.614275
9 -> 1167 | media : 0.779777
10 -> 1021 | media : 0.474045
11 -> 873 | media : 0.817869
12 -> 766 | media : 0.458225
13 -> 601 | media : 0.579035
14 -> 558 | media : 0.682796
15 -> 495 | media : 0.492929
16 -> 383 | media : 1.125326
17 -> 340 | media : 0.800000
18 -> 290 | media : 0.596552
19 -> 287 | media : 0.442509
20 -> 169 | media : 0.360947
21 -> 137 | media : 0.467153
22 -> 117 | media : 0.290598
23 -> 85 | media : 0.270588
24 -> 60 | media : 0.200000
25 -> 31 | media : 0.096774
26 -> 35 | media : 0.142857
27 -> 35 | media : 0.057143
28 -> 25 | media : 0.320000
29 -> 14 | media : 0.000000
30 -> 21 | media : 0.190476
31 -> 13 | media : 0.153846
32 -> 16 | media : 0.187500
33 -> 17 | media : 0.058824
34 -> 6 | media : 0.166667
35 -> 8 | media : 0.500000
36 -> 3 | media : 0.000000
38 -> 1 | media : 1.000000
40 -> 2 | media : 0.500000
41 -> 2 | media : 0.000000
42 -> 4 | media : 0.000000
43 -> 1 | media : 0.000000
44 -> 2 | media : 0.500000
45 -> 1 | media : 0.000000
49 -> 1 | media : 0.000000
51 -> 2 | media : 0.000000
52 -> 1 | media : 0.000000
57 -> 1 | media : 0.000000
2014/2/12
1 -> 24043 | media : 2.147860
2 -> 15534 | media : 7.847882
3 -> 8168 | media : 2.781587
4 -> 4887 | media : 2.057704
5 -> 3424 | media : 1.379089
6 -> 2626 | media : 1.333206
7 -> 2046 | media : 0.846041
8 -> 1529 | media : 0.831916
9 -> 1153 | media : 0.512576
10 -> 922 | media : 0.485900
11 -> 711 | media : 0.430380
12 -> 584 | media : 0.438356
13 -> 502 | media : 0.557769
14 -> 420 | media : 0.576190
15 -> 410 | media : 1.017073
16 -> 329 | media : 0.495441
17 -> 287 | media : 0.763066
18 -> 227 | media : 1.013216
19 -> 174 | media : 0.758621
20 -> 126 | media : 0.849206
21 -> 103 | media : 0.737864
22 -> 84 | media : 0.250000
23 -> 60 | media : 0.400000
24 -> 45 | media : 0.400000
25 -> 45 | media : 0.355556
26 -> 30 | media : 0.133333
27 -> 22 | media : 0.045455
28 -> 22 | media : 0.136364
29 -> 14 | media : 0.000000
30 -> 15 | media : 0.000000
31 -> 9 | media : 0.111111
32 -> 8 | media : 0.000000
33 -> 4 | media : 0.250000
34 -> 5 | media : 0.000000
35 -> 2 | media : 0.000000
36 -> 3 | media : 0.000000
38 -> 1 | media : 0.000000
39 -> 1 | media : 0.000000
40 -> 1 | media : 0.000000
41 -> 1 | media : 0.000000
2014/2/13
1 -> 25259 | media : 2.068649
2 -> 16004 | media : 7.292927
3 -> 7949 | media : 2.824884
4 -> 4680 | media : 3.011966
5 -> 2989 | media : 1.452325
6 -> 2161 | media : 1.343360
7 -> 1691 | media : 0.713779
8 -> 1396 | media : 0.665473
9 -> 1153 | media : 0.496097
10 -> 1072 | media : 0.498134
11 -> 927 | media : 0.433657
12 -> 739 | media : 0.411367
13 -> 644 | media : 0.649068
14 -> 512 | media : 0.865234
15 -> 449 | media : 0.648107
16 -> 382 | media : 0.507853
17 -> 313 | media : 0.498403
18 -> 263 | media : 0.498099
19 -> 188 | media : 0.319149
20 -> 155 | media : 0.225806
21 -> 156 | media : 0.307692
22 -> 124 | media : 0.177419
23 -> 112 | media : 0.214286
24 -> 96 | media : 0.489583
25 -> 77 | media : 0.220779
26 -> 71 | media : 0.098592
27 -> 67 | media : 0.194030
28 -> 48 | media : 0.187500
29 -> 38 | media : 0.184211
30 -> 35 | media : 0.200000
31 -> 32 | media : 0.125000
32 -> 17 | media : 0.176471
33 -> 19 | media : 0.105263
34 -> 11 | media : 0.272727
35 -> 4 | media : 0.000000
36 -> 7 | media : 0.142857
37 -> 7 | media : 0.000000
38 -> 4 | media : 0.000000
39 -> 5 | media : 0.000000
40 -> 4 | media : 0.000000
41 -> 1 | media : 1.000000
42 -> 1 | media : 0.000000
44 -> 1 | media : 0.000000
2014/2/14
1 -> 25296 | media : 1.821869
2 -> 15637 | media : 7.970071
3 -> 8230 | media : 2.611179
4 -> 5100 | media : 2.164510
5 -> 3656 | media : 1.533917
6 -> 2549 | media : 0.979600
7 -> 1878 | media : 0.684239
8 -> 1512 | media : 0.633598
9 -> 1301 | media : 0.404304
10 -> 1068 | media : 0.558052
11 -> 870 | media : 0.387356
12 -> 652 | media : 0.349693
13 -> 578 | media : 0.536332
14 -> 451 | media : 0.490022
15 -> 388 | media : 0.592784
16 -> 417 | media : 0.717026
17 -> 353 | media : 0.589235
18 -> 280 | media : 0.400000
19 -> 246 | media : 0.325203
20 -> 215 | media : 0.297674
21 -> 213 | media : 0.305164
22 -> 156 | media : 0.416667
23 -> 123 | media : 0.414634
24 -> 104 | media : 0.355769
25 -> 82 | media : 0.475610
26 -> 67 | media : 0.313433
27 -> 44 | media : 1.272727
28 -> 64 | media : 0.640625
29 -> 40 | media : 0.750000
30 -> 28 | media : 0.178571
31 -> 23 | media : 0.130435
32 -> 20 | media : 0.200000
33 -> 14 | media : 0.071429
34 -> 15 | media : 0.133333
35 -> 16 | media : 0.187500
36 -> 9 | media : 0.111111
37 -> 4 | media : 0.000000
38 -> 2 | media : 0.000000
39 -> 6 | media : 0.166667
40 -> 1 | media : 1.000000
41 -> 1 | media : 0.000000
42 -> 2 | media : 0.500000
43 -> 2 | media : 0.500000
46 -> 2 | media : 0.000000
2014/2/15
1 -> 18528 | media : 2.448187
2 -> 11492 | media : 11.383049
3 -> 6089 | media : 3.777632
4 -> 3461 | media : 3.708755
5 -> 2090 | media : 1.758373
6 -> 1475 | media : 1.492203
7 -> 1161 | media : 0.679587
8 -> 941 | media : 0.499469
9 -> 800 | media : 0.528750
10 -> 681 | media : 0.393539
11 -> 608 | media : 0.376645
12 -> 622 | media : 0.384244
13 -> 604 | media : 0.509934
14 -> 604 | media : 0.933775
